review_order	id	pr_number	pr_title	case_path	patch_url	source_smells	module	test_type	test_path	test_name	pr_merged_at
14	pr-26481	26481	planner: fix the unstable test TestOrderedResultModeOnOtherOperators	cases/2021/07/pr-26481.json	https://github.com/pingcap/tidb/pull/26481.patch	assert_exact_plan_or_cost	planner	unit	planner/core/testdata/ordered_result_mode_suite_in.json	TestOrderedResultModeOnOtherOperators	2021-07-23T10:48:15+08:00
15	pr-26468	26468	planner: try to fix the unstable test `TestAnalyzeIncremental`	cases/2021/07/pr-26468.json	https://github.com/pingcap/tidb/pull/26468.patch	statistics_sensitive_test	statistics	unit	executor/analyze_test.go	TestAnalyzeIncremental	2021-07-26T11:16:15+08:00
16	pr-26550	26550	planner: push TopN down when N is less than a specific variable	cases/2021/07/pr-26550.json	https://github.com/pingcap/tidb/pull/26550.patch	assert_exact_plan_or_cost	planner	unit	bindinfo/bind_test.go	bind_test	2021-07-27T16:38:17+08:00
17	pr-27734	27734	planner: fix the unstable test TestAnalyzeGlobalStatsWithOpts	cases/2021/09/pr-27734.json	https://github.com/pingcap/tidb/pull/27734.patch	statistics_sensitive_test	statistics	unit	statistics/handle/handle_test.go	TestAnalyzeGlobalStatsWithOpts	2021-09-06T18:58:58+08:00
18	pr-28774	28774	planner: support rebuild the range of indexMerge when reuse the plan	cases/2021/10/pr-28774.json	https://github.com/pingcap/tidb/pull/28774.patch	assert_exact_plan_or_cost,plan_cache_dependency	planner	unit	executor/explainfor_test.go	explainfor_test	2021-10-15T15:19:27+08:00
19	pr-29197	29197	planner: fix the unstable test `TestPrepareCacheChangingParamType `	cases/2021/10/pr-29197.json	https://github.com/pingcap/tidb/pull/29197.patch	plan_cache_dependency	planner	unit	planner/core/prepare_test.go	TestPrepareCacheChangingParamType	2021-10-28T13:28:49+08:00
20	pr-30139	30139	planner: fix the unstable test `TestPartitionWithVariedDatasources`	cases/2021/11/pr-30139.json	https://github.com/pingcap/tidb/pull/30139.patch	plan_cache_dependency	planner	unit	planner/core/prepare_test.go	TestPartitionWithVariedDatasources	2021-11-25T11:11:52+08:00
21	pr-30026	30026	*: sync wait stats loading for stable plan	cases/2021/12/pr-30026.json	https://github.com/pingcap/tidb/pull/30026.patch	statistics_sensitive_test	planner	unit	config/config_test.go	config_test	2021-12-31T10:35:51+08:00
22	pr-32017	32017	executor: fix unstable test TestSavedAnalyzeOptions	cases/2022/01/pr-32017.json	https://github.com/pingcap/tidb/pull/32017.patch	statistics_sensitive_test	statistics	unit	executor/analyze_test.go	TestSavedAnalyzeOptions	2022-01-28T12:45:14+08:00
23	pr-32139	32139	*: support prepared plan cache for cached table	cases/2022/02/pr-32139.json	https://github.com/pingcap/tidb/pull/32139.patch	plan_cache_dependency	planner	unit	table/tables/cache_test.go	cache_test	2022-02-14T12:29:37+08:00
24	pr-33299	33299	planner: Updated failing test after #33098	cases/2022/03/pr-33299.json	https://github.com/pingcap/tidb/pull/33299.patch	plan_cache_dependency	planner	unit	planner/core/prepare_test.go	prepare_test	2022-03-22T17:24:33+08:00
25	pr-33359	33359	planner: outer merge join cannot keep the prop of its inner child	cases/2022/03/pr-33359.json	https://github.com/pingcap/tidb/pull/33359.patch	assert_exact_plan_or_cost	planner	unit	planner/core/integration_test.go	integration_test	2022-03-24T11:44:34+08:00
26	pr-34150	34150	planner: fix the unstable test TestAnalyzeGlobalStatsWithOpts	cases/2022/04/pr-34150.json	https://github.com/pingcap/tidb/pull/34150.patch	statistics_sensitive_test	statistics	unit	statistics/handle/handle_test.go	TestAnalyzeGlobalStatsWithOpts	2022-04-21T17:06:01+08:00
27	pr-34141	34141	*: move config file option mem-quota-query to sysvar	cases/2022/04/pr-34141.json	https://github.com/pingcap/tidb/pull/34141.patch	statistics_sensitive_test	statistics	unit	statistics/handle/handle_test.go	TestAnalyzeGlobalStatsWithOpts	2022-04-26T03:58:50+08:00
28	pr-35114	35114	*: implement chunk rpc encoding for unistore	cases/2022/06/pr-35114.json	https://github.com/pingcap/tidb/pull/35114.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	executor/admin_test.go	admin_test	2022-06-06T23:20:29+08:00
29	pr-35244	35244	*: support paging protocol on unistore	cases/2022/06/pr-35244.json	https://github.com/pingcap/tidb/pull/35244.patch	assert_exact_plan_or_cost	kv	realtikv	tests/realtikvtest/sessiontest/session_test.go	session_test	2022-06-14T21:46:34+08:00
30	pr-35275	35275	session,sessionctx: enable tidb_enable_paging by default	cases/2022/06/pr-35275.json	https://github.com/pingcap/tidb/pull/35275.patch	assert_exact_plan_or_cost	session	realtikv	tests/realtikvtest/sessiontest/session_test.go	session_test	2022-06-23T08:32:37+08:00
31	pr-36855	36855	planner: Stabilise TestPartitionWithVariedDataSources	cases/2022/08/pr-36855.json	https://github.com/pingcap/tidb/pull/36855.patch	plan_cache_dependency	planner	unit	planner/core/prepare_test.go	TestPartitionWithVariedDataSources	2022-08-05T11:02:07+08:00
32	pr-37038	37038	planner: fix unstable test TestPushDownSelectionForMPP	cases/2022/08/pr-37038.json	https://github.com/pingcap/tidb/pull/37038.patch	assert_exact_plan_or_cost	planner	unit	planner/core/integration_test.go	TestPushDownSelectionForMPP	2022-08-11T11:06:48+08:00
33	pr-37576	37576	executor: fix flaky TestDefaultValForAnalyze	cases/2022/09/pr-37576.json	https://github.com/pingcap/tidb/pull/37576.patch	assert_exact_plan_or_cost,statistics_sensitive_test	statistics	unit	executor/analyzetest/analyze_test.go	analyze_test	2022-09-02T18:16:25+08:00
34	pr-37895	37895	planner: fix unstable test TestDAGPlanBuilderUnionScan	cases/2022/10/pr-37895.json	https://github.com/pingcap/tidb/pull/37895.patch	assert_exact_plan_or_cost	planner	unit	planner/core/physical_plan_test.go	TestDAGPlanBuilderUnionScan	2022-10-18T15:49:54+08:00
35	pr-39065	39065	planner: update some UTs from cost model1 to model2	cases/2022/11/pr-39065.json	https://github.com/pingcap/tidb/pull/39065.patch	assert_exact_plan_or_cost	planner	unit	bindinfo/bind_test.go	bind_test	2022-11-11T13:51:54+08:00
36	pr-39138	39138	planner: update some UTs from cost model1 to model2	cases/2022/11/pr-39138.json	https://github.com/pingcap/tidb/pull/39138.patch	assert_exact_plan_or_cost	planner	unit	planner/core/integration_test.go	integration_test	2022-11-15T11:33:55+08:00
37	pr-39210	39210	planner: update some UTs from cost model1 to model2	cases/2022/11/pr-39210.json	https://github.com/pingcap/tidb/pull/39210.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	planner/core/integration_test.go	integration_test	2022-11-17T18:17:56+08:00
38	pr-40199	40199	planner: fix an unstable explain test case	cases/2022/12/pr-40199.json	https://github.com/pingcap/tidb/pull/40199.patch	assert_exact_plan_or_cost	planner	unit	cmd/explaintest/r/explain_complex.result	explain_complex	2022-12-27T18:08:17+08:00
39	pr-40196	40196	planner: prepared plan cache support cached plan with placeholder in limit clause	cases/2023/01/pr-40196.json	https://github.com/pingcap/tidb/pull/40196.patch	plan_cache_dependency	planner	unit	executor/seqtest/prepared_test.go	prepared_test	2023-01-17T12:51:49+08:00
40	pr-41185	41185	planner: skip plan cache if the plan contains Shuffle operators	cases/2023/02/pr-41185.json	https://github.com/pingcap/tidb/pull/41185.patch	plan_cache_dependency	planner	unit	planner/core/plan_cache_test.go	plan_cache_test	2023-02-09T18:06:31+08:00
41	pr-41356	41356	planner: stabilize tests in `binary_plan_test.go`	cases/2023/02/pr-41356.json	https://github.com/pingcap/tidb/pull/41356.patch	assert_exact_plan_or_cost	planner	unit	planner/core/binary_plan_test.go	TestTooLongBinaryPlan	2023-02-14T12:06:01+08:00
42	pr-41416	41416	*: improve planner/core to make test faster	cases/2023/02/pr-41416.json	https://github.com/pingcap/tidb/pull/41416.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	planner/core/logical_plans_test.go	logical_plans_test	2023-02-16T00:34:02+08:00
43	pr-42482	42482	executor: fix naaj panic caused by wrong field types check	cases/2023/03/pr-42482.json	https://github.com/pingcap/tidb/pull/42482.patch	statistics_sensitive_test	executor	unit	executor/join_test.go	join_test	2023-03-23T21:12:55+08:00
44	pr-43204	43204	planner: recalculate as-of ts of staleread when plan is cached	cases/2023/04/pr-43204.json	https://github.com/pingcap/tidb/pull/43204.patch	plan_cache_dependency	txn	unit	executor/stale_txn_test.go	stale_txn_test	2023-04-20T20:57:20+08:00
45	pr-43465	43465	planner: wrong slice length check for index merge's order prop push down	cases/2023/04/pr-43465.json	https://github.com/pingcap/tidb/pull/43465.patch	assert_exact_plan_or_cost	planner	unit	planner/core/casetest/physical_plan_test.go	physical_plan_test	2023-04-28T12:17:53+08:00
46	pr-44139	44139	executor, planner: fix indexLookUp with static pruning	cases/2023/05/pr-44139.json	https://github.com/pingcap/tidb/pull/44139.patch	assert_exact_plan_or_cost	planner	realtikv	executor/partition_table_test.go	partition_table_test	2023-05-25T14:49:39+08:00
47	pr-44324	44324	planner: complete fall through into MPP task if up-layer can generate a cop tiflash	cases/2023/06/pr-44324.json	https://github.com/pingcap/tidb/pull/44324.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	executor/prepared_test.go	prepared_test	2023-06-20T20:46:12+08:00
48	pr-44985	44985	planner: add `model.ExtraPhysTblID` into indexScan.Schema()	cases/2023/06/pr-44985.json	https://github.com/pingcap/tidb/pull/44985.patch	assert_exact_plan_or_cost	planner	realtikv	executor/distsql_test.go	distsql_test	2023-06-30T18:42:44+08:00
49	pr-45252	45252	planner: support ScalarSubQuery to display them in EXPLAIN	cases/2023/07/pr-45252.json	https://github.com/pingcap/tidb/pull/45252.patch	assert_exact_plan_or_cost	planner	unit	planner/core/casetest/physicalplantest/physical_plan_test.go	physical_plan_test	2023-07-24T14:40:20+08:00
50	pr-41537	41537	*: Support List default partition | tidb-test=pr/2110	cases/2023/07/pr-41537.json	https://github.com/pingcap/tidb/pull/41537.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	planner/core/partition_pruner_test.go	partition_pruner_test	2023-07-31T22:35:37+08:00
51	pr-46102	46102	planner: fix index heuristic rule will prune out hint preferred tiflash path	cases/2023/08/pr-46102.json	https://github.com/pingcap/tidb/pull/46102.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	planner/core/casetest/enforcempp/enforce_mpp_test.go	enforce_mpp_test	2023-08-16T15:02:01+08:00
52	pr-46780	46780	planner: split index test	cases/2023/09/pr-46780.json	https://github.com/pingcap/tidb/pull/46780.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	executor/distsql_test.go	distsql_test	2023-09-08T22:48:08+08:00
53	pr-46849	46849	planner: fix the unstable test `TestFixControl45132`	cases/2023/09/pr-46849.json	https://github.com/pingcap/tidb/pull/46849.patch	assert_exact_plan_or_cost	planner	unit	planner/core/casetest/integration_test.go	TestFixControl45132	2023-09-11T19:26:07+08:00
54	pr-46947	46947	tests: Use `tk.MustHavePlan` and `tk.MustNotHavePlan` instead of `tk.HasPlan`	cases/2023/09/pr-46947.json	https://github.com/pingcap/tidb/pull/46947.patch	assert_exact_plan_or_cost	test_infra	realtikv	bindinfo/session_handle_test.go	session_handle_test	2023-09-15T13:16:39+08:00
55	pr-47013	47013	executor, statistics: add logs in failpoint to debug flaky test	cases/2023/09/pr-47013.json	https://github.com/pingcap/tidb/pull/47013.patch	statistics_sensitive_test	executor	unit	executor/test/analyzetest/analyze_test.go	analyze_test	2023-09-16T01:01:41+08:00
56	pr-47078	47078	planner: fix Uncertain Results caused by MERGE_JOIN	cases/2023/09/pr-47078.json	https://github.com/pingcap/tidb/pull/47078.patch	assert_exact_plan_or_cost	planner	unit	planner/core/integration_test.go	integration_test	2023-09-19T15:57:14+08:00
57	pr-46927	46927	executor: fix the error that is raised when executing the window function with range type frame	cases/2023/09/pr-46927.json	https://github.com/pingcap/tidb/pull/46927.patch	assert_exact_plan_or_cost	executor	unit	planner/core/integration_test.go	integration_test	2023-09-19T21:55:43+08:00
58	pr-46329	46329	planner: Turn on the switch of pushdown for range type frame in window function	cases/2023/09/pr-46329.json	https://github.com/pingcap/tidb/pull/46329.patch	assert_exact_plan_or_cost	planner	unit	expression/aggregation/agg_to_pb_test.go	agg_to_pb_test	2023-09-22T12:25:51+08:00
59	pr-47146	47146	planner: support sync loading for mv index stats	cases/2023/09/pr-47146.json	https://github.com/pingcap/tidb/pull/47146.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	executor/test/analyzetest/analyze_test.go	analyze_test	2023-09-25T18:03:18+08:00
60	pr-47200	47200	planner,tests: migrate part of planner tests to mysql_tester	cases/2023/09/pr-47200.json	https://github.com/pingcap/tidb/pull/47200.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	integration	planner/cardinality/selectivity_test.go	selectivity_test	2023-09-26T20:51:17+08:00
61	pr-47330	47330	tests, planner: migrate tests for indexmerge_path, integration and partition in planner	cases/2023/09/pr-47330.json	https://github.com/pingcap/tidb/pull/47330.patch	plan_cache_dependency	test_infra	integration	planner/core/indexmerge_path_test.go	indexmerge_path_test	2023-09-27T17:52:46+08:00
62	pr-47353	47353	planner, tests: migrate more tests to IT	cases/2023/09/pr-47353.json	https://github.com/pingcap/tidb/pull/47353.patch	plan_cache_dependency	planner	integration	planner/core/integration_test.go	integration_test	2023-09-28T15:48:23+08:00
63	pr-46963	46963	planner: fix TestFixControl45132	cases/2023/10/pr-46963.json	https://github.com/pingcap/tidb/pull/46963.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	pkg/planner/core/casetest/integration_test.go	TestFixControl45132	2023-10-16T10:52:58+08:00
64	pr-48100	48100	planner: check nil pointer in rule_result_reorder to avoid panic	cases/2023/10/pr-48100.json	https://github.com/pingcap/tidb/pull/48100.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/integration_test.go	integration_test	2023-10-30T21:00:37+08:00
65	pr-48700	48700	test: fix unstable test `TestIndexMergeRuntimeStats`	cases/2023/11/pr-48700.json	https://github.com/pingcap/tidb/pull/48700.patch	assert_exact_plan_or_cost	executor	integration	pkg/executor/test/executor/executor_test.go	TestIndexMergeRuntimeStats	2023-11-20T11:32:42+08:00
66	pr-48877	48877	tests: move more test cases in `pkg/plan` to integrationtest	cases/2023/11/pr-48877.json	https://github.com/pingcap/tidb/pull/48877.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	integration	pkg/planner/core/casetest/index/index_test.go	index_test	2023-11-27T13:05:44+08:00
67	pr-49338	49338	planner: fix tiflash path will be identified as table dual	cases/2023/12/pr-49338.json	https://github.com/pingcap/tidb/pull/49338.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/casetest/enforcempp/enforce_mpp_test.go	enforce_mpp_test	2023-12-12T22:37:50+08:00
68	pr-49584	49584	expression: refactor cache logic for `builtinRegexpSubstrFuncSig`	cases/2023/12/pr-49584.json	https://github.com/pingcap/tidb/pull/49584.patch	plan_cache_dependency	expression	integration	pkg/expression/builtin_regexp_test.go	builtin_regexp_test	2023-12-20T18:52:53+08:00
69	pr-49642	49642	expression: refactor cache implement for `regexp_like`/`regexp_instr`/`regexp_replace`	cases/2023/12/pr-49642.json	https://github.com/pingcap/tidb/pull/49642.patch	plan_cache_dependency	expression	integration	tests/integrationtest/t/expression/plan_cache.test	plan_cache	2023-12-21T18:42:37+08:00
70	pr-49676	49676	expression: refactor like and ilike cache logic	cases/2023/12/pr-49676.json	https://github.com/pingcap/tidb/pull/49676.patch	plan_cache_dependency	expression	integration	tests/integrationtest/t/expression/plan_cache.test	plan_cache	2023-12-25T15:33:34+08:00
71	pr-49756	49756	expression: pass const bool to all calls for expression.ConstItem	cases/2023/12/pr-49756.json	https://github.com/pingcap/tidb/pull/49756.patch	plan_cache_dependency	expression	integration	pkg/expression/expression_test.go	expression_test	2023-12-25T19:03:26+08:00
72	pr-51203	51203	planner,executor: fix join resolveIndex won't find its column from children schema & amend join's lused and rused logic for reversed column ref from join schema to its children	cases/2024/02/pr-51203.json	https://github.com/pingcap/tidb/pull/51203.patch	assert_exact_plan_or_cost	planner	integration	tests/integrationtest/r/planner/core/casetest/integration.result	integration	2024-02-23T10:52:58+08:00
73	pr-51355	51355	planner: fix flaky test TestPhysicalTableScanExtractCorrelatedCols	cases/2024/02/pr-51355.json	https://github.com/pingcap/tidb/pull/51355.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/physical_plan_test.go	TestPhysicalTableScanExtractCorrelatedCols	2024-02-27T19:21:37+08:00
74	pr-51926	51926	extension: disable some optimizations for extension function	cases/2024/03/pr-51926.json	https://github.com/pingcap/tidb/pull/51926.patch	plan_cache_dependency	expression	unit	pkg/extension/function_test.go	TestShouldNotOptimizeExtensionFunc	2024-03-20T16:32:20+08:00
75	pr-53268	53268	planner: UPDATE's select plan's output col IDs should be stable	cases/2024/05/pr-53268.json	https://github.com/pingcap/tidb/pull/53268.patch	assert_exact_plan_or_cost	planner	integration	tests/integrationtest/r/planner/core/issuetest/planner_issue.result	planner_issue	2024-05-14T22:17:43+08:00
76	pr-53362	53362	planner: stop pushing TopN down through Projection if it has undeterministic functions	cases/2024/05/pr-53362.json	https://github.com/pingcap/tidb/pull/53362.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/integration_test.go	TestIssue37986	2024-05-20T23:07:15+08:00
77	pr-54440	54440	*: enable the predicate columns feature by default | tidb-test=pr/2361	cases/2024/07/pr-54440.json	https://github.com/pingcap/tidb/pull/54440.patch	statistics_sensitive_test	statistics	unit	pkg/executor/test/analyzetest/analyze_test.go	TestSavedAnalyzeOptions	2024-07-12T17:23:28+08:00
78	pr-54980	54980	planner: add some output when a flaky test fails	cases/2024/07/pr-54980.json	https://github.com/pingcap/tidb/pull/54980.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/plan_cost_ver1_test.go	plan_cost_ver1_test	2024-07-29T22:34:18+08:00
79	pr-55195	55195	planner: support generating `leading` and `hash_join_build` hint from physical plan	cases/2024/08/pr-55195.json	https://github.com/pingcap/tidb/pull/55195.patch	assert_exact_plan_or_cost	planner	unit	pkg/infoschema/test/clustertablestest/cluster_tables_test.go	TestQuickBinding	2024-08-10T00:20:12+08:00
80	pr-56196	56196	planner: consider path is global index path or not in `skylinePruning` function	cases/2024/09/pr-56196.json	https://github.com/pingcap/tidb/pull/56196.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/logical_plans_test.go	logical_plans_test	2024-09-24T21:45:56+08:00
81	pr-56203	56203	planner: increase tablescan cost for high risk scenarios | tidb-test=pr/2399	cases/2024/09/pr-56203.json	https://github.com/pingcap/tidb/pull/56203.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/testdata/runtime_filter_generator_suite_out.json	TestRuntimeFilterGenerator	2024-09-26T21:04:27+08:00
82	pr-56204	56204	planner: support vector index in planner	cases/2024/10/pr-56204.json	https://github.com/pingcap/tidb/pull/56204.patch	assert_exact_plan_or_cost	planner	unit	pkg/expression/integration_test/integration_test.go	TestVectorConstantExplain	2024-10-10T22:30:16+08:00
83	pr-56680	56680	planner: update access pathes when using the vector index	cases/2024/10/pr-56680.json	https://github.com/pingcap/tidb/pull/56680.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/casetest/vectorsearch/vector_index_test.go	vector_index_test	2024-10-17T12:16:16+08:00
84	pr-58039	58039	planner: correct the vector index tests	cases/2024/12/pr-58039.json	https://github.com/pingcap/tidb/pull/58039.patch	statistics_sensitive_test	planner	unit	pkg/planner/core/casetest/vectorsearch/vector_index_test.go	vector_index_test	2024-12-10T01:04:37+08:00
85	pr-58207	58207	planner: add test about memo derive stats.	cases/2024/12/pr-58207.json	https://github.com/pingcap/tidb/pull/58207.patch	assert_exact_plan_or_cost,statistics_sensitive_test	planner	unit	pkg/planner/core/casetest/cascades/memo_test.go	TestGroupNDVCols	2024-12-12T20:14:18+08:00
86	pr-58254	58254	planner: stabilize the vector index test	cases/2024/12/pr-58254.json	https://github.com/pingcap/tidb/pull/58254.patch	statistics_sensitive_test	planner	unit	pkg/planner/core/casetest/vectorsearch/vector_index_test.go	vector_index_test	2024-12-16T23:46:48+08:00
87	pr-58397	58397	planner: prepare `AccessPath.PartialAlternativeIndexPaths` to handle MV indexes	cases/2024/12/pr-58397.json	https://github.com/pingcap/tidb/pull/58397.patch	assert_exact_plan_or_cost	planner	integration	tests/integrationtest/r/planner/core/indexmerge_path.result	indexmerge_path	2024-12-21T13:22:27+08:00
88	pr-58546	58546	planner: support hash v2 variable to control the join order	cases/2024/12/pr-58546.json	https://github.com/pingcap/tidb/pull/58546.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/casetest/join/join_test.go	join_test	2024-12-27T18:57:19+08:00
89	pr-59745	59745	planner: change the cascades explain test as explain with brief format.	cases/2025/02/pr-59745.json	https://github.com/pingcap/tidb/pull/59745.patch	assert_exact_plan_or_cost	planner	integration	tests/integrationtest/t/planner/cascades/integration.test	integration	2025-02-26T13:47:10+08:00
90	pr-60333	60333	planner: add optimizer cost factors	cases/2025/04/pr-60333.json	https://github.com/pingcap/tidb/pull/60333.patch	statistics_sensitive_test	planner	integration	pkg/planner/core/plan_cost_ver2_test.go	plan_cost_ver2_test	2025-04-11T05:56:33+08:00
91	pr-60512	60512	planner: add optimizer cost factor tests	cases/2025/04/pr-60512.json	https://github.com/pingcap/tidb/pull/60512.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/plan_cost_ver2_test.go	plan_cost_ver2_test	2025-04-14T11:55:06+08:00
92	pr-60514	60514	test: analyze the tables to stabilize the flaky status of the columns	cases/2025/04/pr-60514.json	https://github.com/pingcap/tidb/pull/60514.patch	statistics_sensitive_test	statistics	integration	tests/integrationtest/t/explain_complex_stats.test	explain_complex_stats	2025-04-15T18:35:58+08:00
93	pr-60648	60648	planner: add skew risk for equals	cases/2025/04/pr-60648.json	https://github.com/pingcap/tidb/pull/60648.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/cardinality/selectivity_test.go	selectivity_test	2025-04-24T12:11:46+08:00
94	pr-60941	60941	planner: make redact log test result ignore plan ID with explain format as brief.	cases/2025/04/pr-60941.json	https://github.com/pingcap/tidb/pull/60941.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/tests/redact/redact_test.go	redact_test	2025-04-30T09:28:29+08:00
95	pr-60943	60943	planner: make null and hint result ignore plan ID with explain format as brief.	cases/2025/04/pr-60943.json	https://github.com/pingcap/tidb/pull/60943.patch	assert_exact_plan_or_cost	planner	unit	pkg/planner/core/casetest/join/join_test.go	join_test	2025-04-30T13:20:47+08:00
96	pr-60980	60980	planner: use brief format to record explain test result in integration-test.	cases/2025/05/pr-60980.json	https://github.com/pingcap/tidb/pull/60980.patch	assert_exact_plan_or_cost	planner	integration	pkg/executor/test/tiflashtest/tiflash_test.go	tiflash_test	2025-05-06T23:27:45+08:00
97	pr-60992	60992	planner: add brief format for some explain test result.	cases/2025/05/pr-60992.json	https://github.com/pingcap/tidb/pull/60992.patch	assert_exact_plan_or_cost	planner	integration	pkg/planner/core/runtime_filter_generator_test.go	runtime_filter_generator_test	2025-05-07T19:37:24+08:00
98	pr-61129	61129	planner: avoid adding empty cost formula	cases/2025/05/pr-61129.json	https://github.com/pingcap/tidb/pull/61129.patch	assert_exact_plan_or_cost	planner	integration	tests/integrationtest/t/tpch.test	tpch	2025-05-15T18:00:27+08:00
99	pr-61902	61902	planner: Fix flaky TestGlobalStatsAndSQLBindingWithConcurrency	cases/2025/06/pr-61902.json	https://github.com/pingcap/tidb/pull/61902.patch	assert_exact_plan_or_cost,statistics_sensitive_test	statistics	unit	pkg/statistics/handle/globalstats/global_stats_internal_test.go	TestGlobalStatsAndSQLBindingWithConcurrency	2025-06-21T08:32:09+08:00
100	pr-62123	62123	planner: Update risk_eq testcase for session vs global	cases/2025/07/pr-62123.json	https://github.com/pingcap/tidb/pull/62123.patch	statistics_sensitive_test	planner	unit	pkg/planner/cardinality/selectivity_test.go	selectivity_test	2025-07-02T22:48:57+08:00
101	pr-62512	62512	planner: Fix flaky testglobalstatsandsqlbinding	cases/2025/07/pr-62512.json	https://github.com/pingcap/tidb/pull/62512.patch	assert_exact_plan_or_cost	planner	unit	pkg/statistics/handle/globalstats/global_stats_internal_test.go	global_stats_internal_test	2025-07-19T18:55:49+08:00
