review_status	case_id	case_path	pr_number	pr_title	test_type	test_path	test_name	failure_signature	patch_url	候选细粒度机制	是否适合单独成subpattern	边界/相邻模式	备注
reviewed	pr-2226	cases/2016/12/pr-2226.json	2226	distsql, executor: fix select channel bug that may discard error.	unit	distsql/distsql_test.go	distsql_test	distsql, executor: fix race bug that may discard error.	https://github.com/pingcap/tidb/pull/2226.patch	结果通道和错误通道分离导致 select 非确定性丢错	是	更偏 channel 协议设计问题，不是共享变量无锁	raw patch 把 results chan + done chan 合并成单个 resultWithErr channel
reviewed	pr-2298	cases/2016/12/pr-2298.json	2298	*: refactor `context.Context`	unit	ddl/column_change_test.go	column_change_test	// fix data race	https://github.com/pingcap/tidb/pull/2298.patch	异步 hook 复用共享事务对象 / 事务生命周期管理不独立	是	与“DDL hook callback 复用共享 context/store/txn”同族，但这里更强调 txn 生命周期 API	case 说明指向 NewTxn/Txn API 重构，避免异步路径共享 txn
reviewed	pr-2479	cases/2017/01/pr-2479.json	2479	ddl: avoid assert in hook function.	unit	ddl/bg_worker_test.go	bg_worker_test	// fix data race	https://github.com/pingcap/tidb/pull/2479.patch	异步 hook goroutine 内直接断言/失败	是	与“DDL hook callback 写共享检查标志无锁”相邻，但这里核心是不要在 hook goroutine 里直接 assert	raw patch 把 hook 内 assert 改成记录 hookErr，主线程统一断言
reviewed	pr-2489	cases/2017/01/pr-2489.json	2489	*: load privilege in a goroutine when server initialize	unit	bootstrap_test.go	bootstrap_test	fix race	https://github.com/pingcap/tidb/pull/2489.patch	后台 goroutine 刷新 privilege cache 时共享快照无原子替换	是	与 copy-on-write/atomic swap 更新共享缓存 相邻	case 说明明确提到 privilege handle + atomic pointer/value swap
reviewed	pr-2491	cases/2017/01/pr-2491.json	2491	*: run a bootstrap session before store is ready (fix race)	unit	bootstrap_test.go	bootstrap_test	*: run a bootstrap session before store is ready (fix race)	https://github.com/pingcap/tidb/pull/2491.patch	bootstrap 尚未完成就创建 session/开始测试	是	与测试初始化顺序/后台 bootstrap 时序问题相邻	raw patch 在多处测试 setup 中显式调用 BootstrapSession(store)
reviewed	pr-2530	cases/2017/01/pr-2530.json	2530	store/tikv: fix a data race in test	unit	store/tikv/gc_worker_test.go	gc_worker_test	store/tikv: fix a data race in test	https://github.com/pingcap/tidb/pull/2530.patch	test store 初始化和 BootstrapSession 顺序不正确	部分适合	与“bootstrap 尚未完成就创建 session/开始测试”同族	raw patch 把 newTestStoreWithBootstrap 改成 newTestStore，然后显式 BootstrapSession
reviewed	pr-2696	cases/2017/02/pr-2696.json	2696	ddl: Fix the bug that showing status row count is 0	unit	ddl/column_change_test.go	column_change_test	ddl: pass make race	https://github.com/pingcap/tidb/pull/2696.patch	异步 DDL reorg 更新 Job.RowCount 无原子保护	是	与其他 DDL 后台 worker 共享 job 字段并发读写相邻	raw patch 为 Job.RowCount 引入 SetRowCount/GetRowCount 和 atomic Load/Store
reviewed	pr-2713	cases/2017/03/pr-2713.json	2713	plan/statistics: concurrent build columns	unit	plan/statistics/statistics_test.go	statistics_test	plan/statistics: fix data race	https://github.com/pingcap/tidb/pull/2713.patch	并发构建统计信息时共享计数/表状态无原子保护	是	与统计缓存 copy-on-write 相邻，但这里是 concurrent build 阶段共享计数竞争	raw patch 在 statistics.Table.Count 上使用 atomic，并配合 concurrent build columns
reviewed	pr-2833	cases/2017/03/pr-2833.json	2833	executor,store/tikv: fix data race	unit	executor/distsql_test.go	distsql_test	executor,store/tikv: fix data race	https://github.com/pingcap/tidb/pull/2833.patch	测试 helper 直接替换共享 RegionCache	是	与共享 runtime cache 被测试线程直接 reset/replace 相邻	raw patch 删除 ClearRegionCache 和测试里对它的调用
reviewed	pr-2968	cases/2017/03/pr-2968.json	2968	*: fix batch insert test data race	unit	executor/write_test.go	write_test	*: fix batch insert test data race	https://github.com/pingcap/tidb/pull/2968.patch	测试改写全局限制值，运行时代码并发读取且无原子保护	是	与“测试改写的全局开关被异步运行路径读取”同族，但这里是 KV limit 全局变量	raw patch 将 kv.TxnEntryCountLimit 的读写统一为 atomic Load/Store
reviewed	pr-3059	cases/2017/04/pr-3059.json	3059	statistics: every histogram use its own version to update.	unit	statistics/statscache_test.go	statscache_test	+ // We copy it before writing to avoid race.	https://github.com/pingcap/tidb/pull/3059.patch	统计缓存对象共享指针原地修改，缺少 copy-on-write	是	与共享结构复用 / clone-before-mutation 同族	raw patch 把 statsCache map[int64]*Table 改为 map[int64]Table，并强调 copy on write / clone before writing
reviewed	pr-3159	cases/2017/04/pr-3159.json	3159	*: fix data race in join.	unit	executor/join_test.go	join_test	"*: fix data race in join. | result = tk.MustQuery(""select a.c1 from t a , t1 b where a.c1 = b.c1 and a.c1 + b.c1 > 5 order by b.c1"") (executor/join_test.go)"	https://github.com/pingcap/tidb/pull/3159.patch	join worker 复用共享 filter 表达式对象，且 MVMap 共享 hashFunc 无锁	部分适合	同 case 混有“表达式树共享”和“共享 hash 状态”两种机制	raw patch 同时做 CNFExprs.Clone 和 MVMap hashFunc 加锁，后续应拆成两个更细簇
reviewed	pr-3284	cases/2017/05/pr-3284.json	3284	executor: fix data race.	unit	executor/executor_test.go	executor_test	executor: fix data race.	https://github.com/pingcap/tidb/pull/3284.patch	删除仅用于触发 union 执行路径的多余 SQL，以避开底层 race	否	更像测试缩减覆盖，不足以沉淀成可操作 subpattern	patch 只删除两处无断言的 UNION/MustExec 语句，没有暴露稳定的代码形态信号
reviewed	pr-3316	cases/2017/05/pr-3316.json	3316	executor: open doubleread close test and fix bug.	unit	executor/distsql_test.go	distsql_test	fix race.	https://github.com/pingcap/tidb/pull/3316.patch	IndexLookUp executor 提前 Close 后，worker 没有持续监听 ctx.Done 导致退出协同不完整	是	与通用 worker shutdown / goroutine leak 相邻，但这里是 double-read pick loop 特征	raw patch 抽出 pickAndExecTask，复用稳定 txnCtx，并在 childCtx.Done 时明确 return
reviewed	pr-3423	cases/2017/06/pr-3423.json	3423	store/tikv: refine errors for undetermined result	unit	store/tikv/2pc_test.go	2pc_test	Revise commit-intercept tests to avoid race when injecting s.store.client (store/tikv/2pc_test.go)	https://github.com/pingcap/tidb/pull/3423.patch	测试线程复用同一个 interceptCommitClient 并改写 resp/err，异步 commit 路径并发读取这些注入字段	是	与共享 mock client / 注入式拦截器状态相邻	最终把一个混合测试拆成多个独立 case，避免同一拦截器实例在多个 commit 场景间被继续改写
reviewed	pr-3913	cases/2017/07/pr-3913.json	3913	*: fix set/get var race	unit	executor/executor_test.go	executor_test	*: fix set/get var race	https://github.com/pingcap/tidb/pull/3913.patch	SessionVars.Users 用户变量 map 被 SET_VAR / GET_VAR 并发读写	是	与共享 session/context 跨 goroutine 复用相邻，但这里更聚焦用户变量 map	raw patch 为 Users 单独引入 UsersLock（RWMutex），并补了 UNION 场景回归语句
reviewed	pr-4453	cases/2017/09/pr-4453.json	4453	gc: use tmp session in gc_worker instead of global singleton.	unit	store/tikv/gc_worker.go	gc_worker	- wg.Wait() // Wait create session finish in worker, some test code depend on this to avoid race.	https://github.com/pingcap/tidb/pull/4453.patch	GC worker 与其他后台路径共享 singleton session 执行 SQL，顺带伴随 gcIsRunning 标志非原子	是	与共享 runtime service/session 被多 goroutine 复用相邻	raw patch 去掉 worker.session，改为每次操作创建临时 session，并把 gcIsRunning 改成 atomic CAS / Store
reviewed	pr-4494	cases/2017/09/pr-4494.json	4494	util/systimemon: fix test race	unit	util/systimemon/systime_mon_test.go	systime_mon_test	util/systimemon: fix test race	https://github.com/pingcap/tidb/pull/4494.patch	测试线程与监控 goroutine 共享 jumpForward 标志无原子保护	是	与“异步 callback 写共享布尔标志”相邻	高纯度最小样例：bool 改为 int32，并用 atomic Store/Load
reviewed	pr-4518	cases/2017/09/pr-4518.json	4518	vendor: update goleveldb to fix a data race	unit	new_session_test.go	new_session_test	vendor: update goleveldb to fix a data race	https://github.com/pingcap/tidb/pull/4518.patch	依赖库 goleveldb 在关闭 DB 时 close memPool channel，与 compaction 路径 mpoolPut send 并发竞争	否	vendor / 上游依赖内部 race，不适合直接沉淀成 TiDB agent 可操作 subpattern	PR body 直接给出 closechan vs chansend stack；patch 在 mpoolPut 前检查 isClosed，并在 drain 时等待池子清空
reviewed	pr-4671	cases/2017/09/pr-4671.json	4671	vendor: update etcd and kvproto	unit	ddl/ddl_db_test.go	ddl_db_test	update goleveldb to fix DATA RACE in test	https://github.com/pingcap/tidb/pull/4671.patch	大号 vendor bump 中顺带包含 goleveldb memPool close/send 竞争等上游 race 修复	否	与 pr-4518 同簇；主要是依赖升级，不是 TiDB 自身可直接识别的代码形态	case 证据主要来自 vendor 更新说明和上游 goleveldb diff，后续只作为边界样本保留
reviewed	pr-4644	cases/2017/10/pr-4644.json	4644	plan, tidb: support plan cache for SELECT statement	unit	ddl/ddl_db_change_test.go	ddl_db_change_test	fix data race	https://github.com/pingcap/tidb/pull/4644.patch	全局 plan cache 复用带执行期状态的 ExecStmt / 计划节点，命中后跨执行共享可变对象	部分适合	同 case 同时混有“缓存 ExecStmt 运行态”和“IndexRange 需深拷贝”两层机制	17/35 把缓存值改成 Plan+StmtNode 并每次重建 ExecStmt，18/35 再为 IndexRange 增加 Clone，后续应继续细拆
reviewed	pr-4714	cases/2017/10/pr-4714.json	4714	exectuor: fix data race in test	unit	executor/executor_test.go	executor_test	exectuor: fix data race in test	https://github.com/pingcap/tidb/pull/4714.patch	测试线程改写 checkRequestClient.syncLog 标志，请求发送路径 SendReq 并发读取	是	与共享 mock client / 注入式校验状态相邻	raw patch 把 syncLog 收进已有 mu，并在 SendReq 内用 RLock 读取
reviewed	pr-5042	cases/2017/11/pr-5042.json	5042	*: build and use count-min sketch	unit	executor/aggregate_test.go	aggregate_test	// We copy it before writing to avoid race.	https://github.com/pingcap/tidb/pull/5042.patch	statistics Handle 在共享 Table / Column / Index 缓存对象上原地补写 Histogram / CMSketch，缺少 copy-on-write	是	与“统计缓存对象共享指针原地修改”同族，但这里更具体是 load-from-storage 补写 stats 字段	raw patch 在 tableStatsFromStorage 中保留“copy before writing”，并把 CMSketch 一起纳入复制后的对象
reviewed	pr-5171	cases/2017/11/pr-5171.json	5171	store/tikv: fix region cache data race.	unit	store/tikv/region_cache_test.go	region_cache_test	store/tikv: fix region cache data race.	https://github.com/pingcap/tidb/pull/5171.patch	RegionCache 解锁后继续返回/使用共享 *Region 指针，后台更新 leader 或 cache 项时并发修改	是	与共享 runtime cache 对象在 unlock 后继续使用相邻	raw patch 改成锁内 get/search helper，并在解锁前复制 meta / peer 等稳定字段
reviewed	pr-5425	cases/2017/12/pr-5425.json	5425	plan, executor: index join enhancement.	unit	executor/executor_pkg_test.go	executor_pkg_test	+ // Since multiple inner workers run concurrently, we should copy join's indexRanges for every worker to avoid data race.	https://github.com/pingcap/tidb/pull/5425.patch	IndexJoin 多个 inner worker 共享 join.indexRanges / Range 对象	是	与“可变 plan/range 结构被多 worker 复用”相邻	raw patch 在 newOuterWorker 里为每个 inner worker clone 一份 indexRanges
reviewed	pr-5671	cases/2018/01/pr-5671.json	5671	plan: no need to pass the ctx to logicalOptRule	unit	plan/logical_plan_test.go	logical_plan_test	plan: fix data race in maxMinEliminater.	https://github.com/pingcap/tidb/pull/5671.patch	logicalOptRule / maxMinEliminator 把 ctx 存进 rule struct 字段，多次 optimize 并发覆写	是	与共享 planner rule 实例的运行态字段相邻	raw patch 去掉 ctx 字段，改成参数传递或直接从 plan 上取 ctx
reviewed	pr-5826	cases/2018/03/pr-5826.json	5826	executor, util: employ memory Tracker to track memory usage during query execution	unit	util/chunk/list_test.go	list_test	fix data race	https://github.com/pingcap/tidb/pull/5826.patch	内存超限 ActionOnExceed（LogOnExceed / PanicOnExceed）里的 acted 标志无锁，被多个执行路径并发触发	是	与共享 callback / exceed-action 状态相邻	raw patch 在 util/memory/action.go 中给 ActionOnExceed 实现补 mutex，并把 “only once” 状态改成受保护的 acted
reviewed	pr-6062	cases/2018/03/pr-6062.json	6062	tidb: move tidb/*.go to session directory	unit	ddl/ddl_db_change_test.go	ddl_db_change_test	fix a data race in test	https://github.com/pingcap/tidb/pull/6062.patch	测试 mockResponse 的 count 字段在 Next / Close 并发读写无锁	是	与测试 helper / mock response 对象被异步路径并发访问相邻	raw patch 给 mockResponse 加 sync.Mutex，并在 Next/Close 两侧都加锁
reviewed	pr-6234	cases/2018/04/pr-6234.json	6234	*: fix data race	unit	executor/aggregate_test.go	aggregate_test	*: fix data race	https://github.com/pingcap/tidb/pull/6234.patch	测试改写全局 PlanCacheEnabled，后台 session Execute / DDL emulator 并发读取	是	与“测试改写的全局开关被异步运行路径读取”同族	raw patch 删除全局 plan.PlanCacheEnabled，改为 SessionVars.PlanCacheEnabled，测试只改 session 级开关
reviewed	pr-6324	cases/2018/04/pr-6324.json	6324	store/tikv/latch: fix a data race in test code	unit	store/tikv/latch/latch_test.go	latch_test	store/tikv/latch: fix a data race in test code	https://github.com/pingcap/tidb/pull/6324.patch	自制并发 txnScheduler 测试直接驱动 latch.Acquire 竞争，patch 通过删除整段并发测试规避 race	否	更像删除高竞争覆盖，不足以沉淀成可操作 subpattern	raw patch 直接删除 TestWithConcurrency 及其调度辅助结构，没有留下稳定代码形态
reviewed	pr-6340	cases/2018/04/pr-6340.json	6340	store/tikv: make LockKeys() function thread safe	unit	store/tikv/txn.go	txn	A data race is found in the CI:	https://github.com/pingcap/tidb/pull/6340.patch	两个 SelectLock executor 并发调用 txn.LockKeys，共享 tikvTxn.lockKeys 切片 append	是	与共享 txn/session 对象被并行 executor 修改相邻	raw patch 为 tikvTxn 增加 mutex，只保护 LockKeys 对 lockKeys 的追加
reviewed	pr-6368	cases/2018/04/pr-6368.json	6368	*: rename `NewRange` to `Range`.	unit	distsql/request_builder_test.go	request_builder_test	// Since multiple inner workers run concurrently, we should copy join's indexRanges for every worker to avoid data race.	https://github.com/pingcap/tidb/pull/6368.patch	IndexJoin 多个 inner worker 共享 join.indexRanges / Range 对象	是	与共享计划参数/Range 切片被多个 worker 复用相邻	本质上是 pr-5425 的同型延续；raw patch 在 newInnerWorker 里逐 worker Clone range
reviewed	pr-6472	cases/2018/05/pr-6472.json	6472	store/tikv: rollback all keys when prewrite fail.	unit	store/tikv/2pc_test.go	2pc_test	// exclusively to avoid the data race when using the same backoffer	https://github.com/pingcap/tidb/pull/6472.patch	twoPhaseCommit 多个 batch goroutine 复用同一个 Backoffer 状态	是	与共享 context/backoff/session 被多个 goroutine 并发推进相邻	raw patch 明确写 “avoid the data race when using the same backoffer”；按 batch Clone/Fork Backoffer
reviewed	pr-6525	cases/2018/05/pr-6525.json	6525	http: revert log_level change	unit	server/http_handler_test.go	http_handler_test	log level is not accessed atomically in this version, cause race issue.	https://github.com/pingcap/tidb/pull/6525.patch	HTTP settings 接口运行时改写全局 log level，日志路径并发读取	部分适合	与测试改写全局配置被后台/运行时路径读取相邻，但更偏运行时热更新	raw patch 直接删掉 `/settings` 的 `log_level` 热更新入口；fix 是回退功能，不是补同步
reviewed	pr-6543	cases/2018/05/pr-6543.json	6543	executor: rewrite TestNotFillCacheFlag to avoid data race in CI	unit	executor/executor_test.go	TestNotFillCacheFlag	executor: rewrite TestNotFillCacheFlag to avoid data race in CI	https://github.com/pingcap/tidb/pull/6543.patch	测试通过共享 checkRequestClient.notFillCache 字段传递断言期望，被请求发送路径并发读取	是	与测试改写 mock client 标志（如 syncLog）被 SendReq 并发读取同族	patch 改成 `context.WithValue(..., "CheckSelectRequestHook", ...)`，把断言期望跟着请求走，不再复用共享字段
reviewed	pr-6548	cases/2018/05/pr-6548.json	6548	binloginfo: fix a data race on global.Config() in the unit test	unit	sessionctx/binloginfo/binloginfo_test.go	binloginfo_test	binloginfo: fix a data race on global.Config() in the unit test	https://github.com/pingcap/tidb/pull/6548.patch	测试改写全局 Binlog IgnoreError 配置，写 binlog 路径并发读取	是	与全局开关/lease 被后台 goroutine 读取同族	raw patch 把 `config.GetGlobalConfig().Binlog.IgnoreError` 改成原子 `ignoreError` / `skipBinlog` 标志
reviewed	pr-6565	cases/2018/06/pr-6565.json	6565	stats: refine the pseudo condition for stats	unit	executor/aggregate_test.go	aggregate_test	fix race	https://github.com/pingcap/tidb/pull/6565.patch	statistics Table/Column/Index 缓存对象的 Pseudo / ErrorRate 在共享 stats cache 上原地补写	部分适合	与 stats cache copy-on-write、反馈 rateMap 聚合、Pseudo 判定同簇	patch 同时引入 `UpdateErrorRate/ClearErrorRate`、`table.copy()` 后再写 `Pseudo` 等多处修复；核心信号仍是“从共享 stats cache 取出对象后直接改字段”
reviewed	pr-6658	cases/2018/06/pr-6658.json	6658	*: support parallel hash agg	unit	executor/aggregate_test.go	aggregate_test	"fix data race | result = tk.MustQuery(""select count(*) from t group by d order by c"") (executor/aggregate_test.go)"	https://github.com/pingcap/tidb/pull/6658.patch	parallel hash agg 多个 partial/final worker 共享 AggFuncs 内部状态	部分适合	与多个 worker 共享执行期聚合函数/上下文对象相邻	PR 很大，但 patch 34/41 明确写出 “clone agg funcs to avoid data race”；适合作为细机制候选，不宜直接把整 PR 当纯样例
reviewed	pr-6869	cases/2018/06/pr-6869.json	6869	stats: refine index row count estimation	unit	executor/aggregate_test.go	aggregate_test	// We copy it before writing to avoid race.	https://github.com/pingcap/tidb/pull/6869.patch	statistics Table 派生映射 col2Idx / colNameID 在共享缓存对象上原地补写	是	与 stats cache 对 Table/Column/Index 对象 copy-on-write 同族	patch 在 `table.copy()` 之外补上 `col2Idx/colNameID` 的复制，避免选择率估算路径并发读写派生 map
reviewed	pr-6859	cases/2018/07/pr-6859.json	6859	stats: use feedback in time	unit	statistics/feedback_test.go	feedback_test	fix possible nil pointer and data race	https://github.com/pingcap/tidb/pull/6859.patch	local feedback 更新路径在共享 Histogram / CMSketch / Column / Index 对象上原地改写	是	与 stats cache copy-on-write、feedback 写回路径同族	`nil pointer` 只是次生问题；真正的 race 是 `UpdateHistogram/UpdateCMSketch` 结果直接回填共享 stats 对象，后续改成复制 `newIdx/newCol`
reviewed	pr-6901	cases/2018/07/pr-6901.json	6901	stats: refactor stats update mechanism	unit	executor/simple_test.go	simple_test	fix data race for rate map	https://github.com/pingcap/tidb/pull/6901.patch	statistics Handle.rateMap 在 feedback merge / clear / update 路径并发读写	是	与 stats Handle 全局反馈状态聚合同族，但比通用 stats cache race 更细	raw patch 把 `rateMap` 收进 `Handle.mu`，在 `merge/clear/UpdateErrorRate` 等路径显式加锁
reviewed	pr-7203	cases/2018/07/pr-7203.json	7203	ddl: fix data race in schema_test	unit	ddl/ddl_test.go	ddl_test	ddl: fix data race in schema_test	https://github.com/pingcap/tidb/pull/7203.patch	测试重启 DDL 时直接调用 start 重建 worker 状态，旧 asyncNotifyWorker 仍在读共享 workers/quitCh	是	与 DDL worker 生命周期重启/teardown 顺序错误同族	patch 新增 `restartWorkers`，只重启原 worker 而不重建，避免 `start` 期间并发改共享 worker 状态
reviewed	pr-7232	cases/2018/08/pr-7232.json	7232	*: fix data race in the file of prepare_test.go	unit	executor/prepared_test.go	prepared_test	*: fix data race in the file of prepare_test.go	https://github.com/pingcap/tidb/pull/7232.patch	测试直接改全局 PreparedPlanCacheEnabled，optimizer/session 路径并发读取	是	与测试改写全局 PlanCacheEnabled / prepared-plan-cache 开关同族	patch 把全局 bool 改成原子 accessor：`SetPreparedPlanCache` / `PreparedPlanCacheEnabled()`
reviewed	pr-7305	cases/2018/08/pr-7305.json	7305	stats: support loading partition stats	unit	executor/analyze_test.go	analyze_test	fix data race	https://github.com/pingcap/tidb/pull/7305.patch	statistics Handle 的 pid2tid / schemaVersion 映射在 init/load 路径并发读写	是	与 stats Handle 共享 map/rateMap 状态并发访问同族	patch 把 `pid2tid`、`schemaVersion` 收进 `Handle.mu`，并在 `getTableByPhysicalID` / `initStats*` 路径加锁
reviewed	pr-7318	cases/2018/08/pr-7318.json	7318	infoschema: fix information schema data race	unit	executor/executor_test.go	executor_test	fix race in executor test	https://github.com/pingcap/tidb/pull/7318.patch	Infoschema apply diff 直接改共享 DBInfo.Tables；executor test 的 lowPriorityCnt 计数也无锁	部分适合	前半段更像 schema metadata clone-before-mutate，后半段是测试计数器加锁	PR 同时包含 `DBInfo.Clone()` 后再改和 `checkRequestClient.lowPriorityCnt` 加锁两个小机制，不够纯
